id;data;encoded;transfered;decoded;probability;errors
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2058;Producer
2;Implementation Electronics Officer;methodology Albania;Home Namibia;Steel zero administration;36636;Common
3;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Planner cross-platform access;9767;Nakfa
4;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;18485;Facilitator
5;Views e-enable Communications;National Awesome sky blue;Tactics;scale interactive generating;35675;mission-critical Faroe Islands Plastic
6;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;86310;Investment Account archive Fantastic Plastic Chicken
7;payment;withdrawal COM;embrace Developer;synthesize Idaho compress;49379;Poland
8;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;75555;User-centric
9;Money Market Account;Salad Web virtual;Refined Squares;maroon;89255;Ghana back-end National
10;Direct;Profit-focused;Jewelery cutting-edge;Games;51074;supply-chains magenta
